,missing_count,missing_pct
AINextMuch less integrated,18492,98.13
AINextLess integrated,18093,96.01
AINextNo change,14468,76.77
AINextMuch more integrated,13676,72.57
EmbeddedAdmired,13064,69.32
EmbeddedWantToWorkWith,12932,68.62
EmbeddedHaveWorkedWith,11943,63.37
AIToolNot interested in Using,10067,53.42
AINextMore integrated,9816,52.09
ConvertedCompYearly,9295,49.32
AIToolInterested in Using,7656,40.63
Knowledge_9,7289,38.68
Frequency_3,7262,38.54
Knowledge_8,7261,38.53
Knowledge_7,7250,38.47
Knowledge_6,7208,38.25
Knowledge_5,7205,38.23
ProfessionalTech,7169,38.04
Knowledge_2,7163,38.01
Knowledge_4,7152,37.95
Knowledge_3,7136,37.87
Frustration,7054,37.43
Frequency_2,7028,37.29
Frequency_1,7023,37.27
Knowledge_1,6926,36.75
ProfessionalCloud,6856,36.38
TimeAnswering,6855,36.38
ProfessionalQuestion,6842,36.31
TimeSearching,6827,36.23
Industry,6819,36.18
JobSat,6734,35.73
JobSatPoints_1,6708,35.6
JobSatPoints_4,6682,35.46
JobSatPoints_5,6675,35.42
JobSatPoints_11,6663,35.36
JobSatPoints_9,6661,35.35
JobSatPoints_7,6660,35.34
JobSatPoints_6,6660,35.34
JobSatPoints_10,6658,35.33
JobSatPoints_8,6654,35.31
WorkExp,6571,34.87
ICorPM,6533,34.67
MiscTechAdmired,6458,34.27
AIToolCurrently Using,6314,33.5
AIBen,6007,31.88
AIComplex,5921,31.42
AIAcc,5874,31.17
MiscTechWantToWorkWith,5776,30.65
CompTotal,5376,28.53
AIChallenges,5137,27.26
TechDoc,4971,26.38
MiscTechHaveWorkedWith,4787,25.4
AISearchDevAdmired,4299,22.81
AIEthics,4279,22.71
AISearchDevWantToWorkWith,4132,21.93
SOPartFreq,3539,18.78
AIThreat,3476,18.45
AISent,3449,18.3
OfficeStackAsyncAdmired,3192,16.94
AISearchDevHaveWorkedWith,2977,15.8
LearnCodeOnline,2914,15.46
OfficeStackAsyncWantToWorkWith,2840,15.07
BuildvsBuy,1794,9.52
TBranch,1717,9.11
OfficeStackAsyncHaveWorkedWith,1626,8.63
OfficeStackSyncAdmired,1574,8.35
TechEndorse,1513,8.03
BuyNewTool,1339,7.11
OfficeStackSyncWantToWorkWith,1186,6.29
ToolsTechAdmired,1047,5.56
ToolsTechWantToWorkWith,911,4.83
PurchaseInfluence,888,4.71
OrgSize,875,4.64
Currency,820,4.35
YearsCodePro,776,4.12
ToolsTechHaveWorkedWith,639,3.39
SurveyLength,520,2.76
SurveyEase,509,2.7
OfficeStackSyncHaveWorkedWith,385,2.04
NEWCollabToolsAdmired,366,1.94
NEWCollabToolsWantToWorkWith,299,1.59
SOHow,267,1.42
OpSysProfessional use,221,1.17
SOComm,195,1.03
SOVisitFreq,170,0.9
SOAccount,163,0.86
NEWCollabToolsHaveWorkedWith,146,0.77
OpSysPersonal use,144,0.76
NEWSOSites,72,0.38
AISelect,58,0.31
YearsCode,51,0.27
DevType,44,0.23
LearnCode,37,0.2
RemoteWork,6,0.03
DatabaseWantToWorkWith,0,0.0
DatabaseAdmired,0,0.0
PlatformHaveWorkedWith,0,0.0
Country,0,0.0
Age,0,0.0
ResponseId,0,0.0
MainBranch,0,0.0
CodingActivities,0,0.0
LanguageHaveWorkedWith,0,0.0
LanguageWantToWorkWith,0,0.0
LanguageAdmired,0,0.0
DatabaseHaveWorkedWith,0,0.0
PlatformAdmired,0,0.0
WebframeHaveWorkedWith,0,0.0
WebframeWantToWorkWith,0,0.0
PlatformWantToWorkWith,0,0.0
WebframeAdmired,0,0.0
EdLevel,0,0.0
Employment,0,0.0
Check,0,0.0
